DesignPt#,mean_price,max_price,min_price,capacity,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,n_days,MacroRep#,total_profit,frac_producing,mean_stock
0,100.0,400.0,0.0,10000,7.5,0.66,100.0,100,80.0,7000,40.0,100.0,365,0,251692.14749262383,0.9972602739726028,255.8904109589041
0,100.0,400.0,0.0,10000,7.5,0.66,100.0,100,80.0,7000,40.0,100.0,365,1,-1859.7431613082736,0.9397260273972603,1411.5068493150684
1,100.0,400.0,0.0,10000,7.5,0.53,100.0,63,80.0,7000,40.0,100.0,365,0,168531.38711490238,0.9972602739726028,103.73424657534247
1,100.0,400.0,0.0,10000,7.5,0.53,100.0,63,80.0,7000,40.0,100.0,365,1,327840.2317510604,0.9972602739726028,175.70958904109588
2,100.0,400.0,0.0,10000,7.5,0.56,100.0,72,80.0,7000,40.0,100.0,365,0,34542.29378998809,0.9452054794520548,338.1041095890411
2,100.0,400.0,0.0,10000,7.5,0.56,100.0,72,80.0,7000,40.0,100.0,365,1,233054.77373745278,0.9972602739726028,293.1287671232877
3,100.0,400.0,0.0,10000,7.5,0.59,100.0,81,80.0,7000,40.0,100.0,365,0,175114.5352808594,0.9972602739726028,505.52876712328765
3,100.0,400.0,0.0,10000,7.5,0.59,100.0,81,80.0,7000,40.0,100.0,365,1,-244530.82732181993,0.9972602739726028,513.2958904109589
4,100.0,400.0,0.0,10000,7.5,0.88,100.0,97,80.0,7000,40.0,100.0,365,0,110724.77254442323,0.9972602739726028,389.8602739726027
4,100.0,400.0,0.0,10000,7.5,0.88,100.0,97,80.0,7000,40.0,100.0,365,1,429938.2009475501,0.9972602739726028,277.1808219178082
5,100.0,400.0,0.0,10000,7.5,1.0,100.0,66,80.0,7000,40.0,100.0,365,0,109290.38866367687,0.936986301369863,336.32876712328766
5,100.0,400.0,0.0,10000,7.5,1.0,100.0,66,80.0,7000,40.0,100.0,365,1,184547.20605796075,0.9972602739726028,237.6
6,100.0,400.0,0.0,10000,7.5,0.81,100.0,59,80.0,7000,40.0,100.0,365,0,43947.93298914187,0.9972602739726028,318.43835616438355
6,100.0,400.0,0.0,10000,7.5,0.81,100.0,59,80.0,7000,40.0,100.0,365,1,-6155.11483528101,0.9616438356164384,237.6164383561644
7,100.0,400.0,0.0,10000,7.5,0.78,100.0,94,80.0,7000,40.0,100.0,365,0,5180.931771402916,0.9972602739726028,764.8767123287671
7,100.0,400.0,0.0,10000,7.5,0.78,100.0,94,80.0,7000,40.0,100.0,365,1,207167.26889820694,0.9972602739726028,352.3068493150685
8,100.0,400.0,0.0,10000,7.5,0.75,100.0,75,80.0,7000,40.0,100.0,365,0,76917.61977588167,0.9972602739726028,331.64383561643837
8,100.0,400.0,0.0,10000,7.5,0.75,100.0,75,80.0,7000,40.0,100.0,365,1,177456.86947370754,0.9972602739726028,204.86301369863014
9,100.0,400.0,0.0,10000,7.5,0.84,100.0,50,80.0,7000,40.0,100.0,365,0,62104.36939125393,0.9972602739726028,236.3013698630137
9,100.0,400.0,0.0,10000,7.5,0.84,100.0,50,80.0,7000,40.0,100.0,365,1,280487.15297130035,0.9972602739726028,166.16438356164383
10,100.0,400.0,0.0,10000,7.5,0.97,100.0,88,80.0,7000,40.0,100.0,365,0,-107916.54348499943,0.9972602739726028,493.76438356164385
10,100.0,400.0,0.0,10000,7.5,0.97,100.0,88,80.0,7000,40.0,100.0,365,1,-77167.77583155058,0.9972602739726028,317.76438356164385
11,100.0,400.0,0.0,10000,7.5,0.94,100.0,78,80.0,7000,40.0,100.0,365,0,-101303.16342013303,0.9972602739726028,530.613698630137
11,100.0,400.0,0.0,10000,7.5,0.94,100.0,78,80.0,7000,40.0,100.0,365,1,70421.82466027432,0.9972602739726028,522.0657534246575
