DesignPt#,lambda,mu,warmup,people,MacroRep#,avg_sojourn_time,avg_waiting_time,frac_cust_wait
0,5.0,1.63,25,50,0,18.57876961626216,18.005719440086047,1.0
0,5.0,1.63,25,50,1,21.48748010965799,20.836418987421617,1.0
0,5.0,1.63,25,50,2,14.73008691598429,14.264058655390395,1.0
0,5.0,1.63,25,50,3,21.158266619991373,20.612574183459873,1.0
0,5.0,1.63,25,50,4,15.320735816335837,14.733406000803463,1.0
1,5.0,1.13,25,31,0,24.13546663016761,23.38015323494239,1.0
1,5.0,1.13,25,31,1,28.955442859053882,27.863272571528334,1.0
1,5.0,1.13,25,31,2,20.21213764021231,19.576743884824385,1.0
1,5.0,1.13,25,31,3,28.509556634966582,27.739249832146385,1.0
1,5.0,1.13,25,31,4,21.355662102477357,20.62571445528754,1.0
2,5.0,1.25,25,36,0,22.645538473436343,21.93945742141613,1.0
2,5.0,1.25,25,36,1,27.149375876526694,26.17573419964579,1.0
2,5.0,1.25,25,36,2,18.61839294404438,18.02029065504172,1.0
2,5.0,1.25,25,36,3,26.417365032247762,25.759833028433953,1.0
2,5.0,1.25,25,36,4,19.551073950321317,18.887593601953327,1.0
3,5.0,1.38,25,41,0,21.05495583192574,20.432991061972285,1.0
3,5.0,1.38,25,41,1,25.12130496736466,24.29953627330193,1.0
3,5.0,1.38,25,41,2,17.27289034484846,16.692001114372975,1.0
3,5.0,1.38,25,41,3,24.406793356200012,23.726079027401603,1.0
3,5.0,1.38,25,41,4,17.829184317623298,17.19720099471272,1.0
4,5.0,2.5,25,48,0,8.752289863582542,8.369134562724634,1.0
4,5.0,2.5,25,48,1,11.018006275970189,10.607945074370749,1.0
4,5.0,2.5,25,48,2,6.219573168728424,5.926851825520353,1.0
4,5.0,2.5,25,48,3,10.822214117246382,10.473767607088643,1.0
4,5.0,2.5,25,48,4,5.943238529307229,5.57252715996738,1.0
5,5.0,3.0,25,33,0,4.7282938120582125,4.443713838585344,1.0
5,5.0,3.0,25,33,1,7.033201933527127,6.60934816372094,1.0
5,5.0,3.0,25,33,2,2.927379447002279,2.683703095898144,1.0
5,5.0,3.0,25,33,3,6.928450334358562,6.645106679704786,1.0
5,5.0,3.0,25,33,4,2.5844533156566425,2.315122863456912,0.9393939393939394
6,5.0,2.25,25,30,0,8.39375413211382,8.010734146680862,1.0
6,5.0,2.25,25,30,1,10.569303598414674,10.010837646820875,1.0
6,5.0,2.25,25,30,2,6.295277005422252,5.9674934737577665,1.0
6,5.0,2.25,25,30,3,10.617148899050509,10.241745887437258,1.0
6,5.0,2.25,25,30,4,6.110505751070232,5.7538978758582235,1.0
7,5.0,2.13,25,47,0,11.675009854061258,11.226883691675846,1.0
7,5.0,2.13,25,47,1,13.904174974099114,13.414610445053654,1.0
7,5.0,2.13,25,47,2,8.820949892231214,8.47030295250183,1.0
7,5.0,2.13,25,47,3,13.76901253937628,13.353089474649853,1.0
7,5.0,2.13,25,47,4,8.700954529099844,8.266109766601769,1.0
8,5.0,2.0,25,38,0,11.593345516396715,11.145532445309792,1.0
8,5.0,2.0,25,38,1,13.879422066693133,13.294866236531073,1.0
8,5.0,2.0,25,38,2,8.852990214194433,8.468676962818268,1.0
8,5.0,2.0,25,38,3,13.885866603986882,13.462284707126642,1.0
8,5.0,2.0,25,38,4,8.817978374576905,8.418280905367093,1.0
9,5.0,2.38,25,25,0,7.07586256534053,6.774412930791417,1.0
9,5.0,2.38,25,25,1,9.070480432496748,8.503078169932921,1.0
9,5.0,2.38,25,25,2,5.26488663675482,4.98603942793552,1.0
9,5.0,2.38,25,25,3,9.274406802795282,8.907757814380643,1.0
9,5.0,2.38,25,25,4,4.908201140796019,4.554646242714206,1.0
10,5.0,2.88,25,44,0,6.088713176156713,5.751459836043577,1.0
10,5.0,2.88,25,44,1,8.483009941482944,8.108909153223397,1.0
10,5.0,2.88,25,44,2,4.035376390915879,3.7628573522511433,1.0
10,5.0,2.88,25,44,3,8.261705590764528,7.949147125423838,1.0
10,5.0,2.88,25,44,4,3.464690873764758,3.165987155993663,1.0
11,5.0,2.75,25,39,0,6.3628825000435825,6.043800060564501,1.0
11,5.0,2.75,25,39,1,8.724450705729186,8.299628359734507,1.0
11,5.0,2.75,25,39,2,4.25436187750642,3.971654345904477,1.0
11,5.0,2.75,25,39,3,8.497827993819223,8.189961336436662,1.0
11,5.0,2.75,25,39,4,3.802773225335604,3.503322826631513,1.0
12,5.0,2.63,25,34,0,6.529934982550421,6.202221329332925,1.0
12,5.0,2.63,25,34,1,8.834038629263421,8.351315723773725,1.0
12,5.0,2.63,25,34,2,4.480584628703903,4.210710857472868,1.0
12,5.0,2.63,25,34,3,8.740322707572242,8.418931292633175,1.0
12,5.0,2.63,25,34,4,4.1633797485998345,3.8495148007806486,1.0
13,5.0,1.5,25,27,0,15.437610710533749,14.932736057406728,1.0
13,5.0,1.5,25,27,1,18.61224950300586,17.73124234594762,1.0
13,5.0,1.5,25,27,2,12.664203701318726,12.24570374676229,1.0
13,5.0,1.5,25,27,3,18.837963844283404,18.29694119218053,1.0
13,5.0,1.5,25,27,4,13.117075901927267,12.586528152391327,1.0
14,5.0,1.0,25,42,0,32.55654689164011,31.658146048255286,1.0
14,5.0,1.0,25,42,1,38.699471360002406,37.58829959207199,1.0
14,5.0,1.0,25,42,2,27.435330088165692,26.641021169490966,1.0
14,5.0,1.0,25,42,3,37.190495324977846,36.26152886229684,1.0
14,5.0,1.0,25,42,4,28.79018806632033,27.91177645007106,1.0
15,5.0,1.75,25,45,0,15.707071181516522,15.151206991110644,1.0
15,5.0,1.75,25,45,1,18.495176310992253,17.889277208892675,1.0
15,5.0,1.75,25,45,2,12.461682730207109,12.021409776551561,1.0
15,5.0,1.75,25,45,3,18.291359803440084,17.769771710557293,1.0
15,5.0,1.75,25,45,4,12.56336398242981,12.06740056055342,1.0
16,5.0,1.88,25,28,0,11.106091295209879,10.643641039367214,1.0
16,5.0,1.88,25,28,1,13.420465040410681,12.723782378833388,1.0
16,5.0,1.88,25,28,2,8.761780662222842,8.375846150240688,1.0
16,5.0,1.88,25,28,3,13.723342961646363,13.294375820904103,1.0
16,5.0,1.88,25,28,4,8.839104660965392,8.384762367485992,1.0
17,5.0,3.0,25,45,0,5.5898281898561635,5.265574078786067,1.0
17,5.0,3.0,25,45,1,7.976960212290383,7.623519069398963,1.0
17,5.0,3.0,25,45,2,3.5745754762562405,3.317749586623838,1.0
17,5.0,3.0,25,45,3,7.758543671309819,7.4542839504615195,1.0
17,5.0,3.0,25,45,4,3.100854081088134,2.8115420849935724,0.9555555555555556
18,5.0,1.5,25,47,0,20.267889765968036,19.63155061538075,1.0
18,5.0,1.5,25,47,1,23.632279861450957,22.9370982302064,1.0
18,5.0,1.5,25,47,2,16.33619588818276,15.838277233767043,1.0
18,5.0,1.5,25,47,3,23.173356071474938,22.58274531956341,1.0
18,5.0,1.5,25,47,4,16.834333511819384,16.21685394907211,1.0
19,5.0,1.88,25,27,0,10.93272232748921,10.529896806377225,1.0
19,5.0,1.88,25,27,1,13.213098210321427,12.51016696798773,1.0
19,5.0,1.88,25,27,2,8.648409655251339,8.314500117041417,1.0
19,5.0,1.88,25,27,3,13.593382365706818,13.161715356050266,1.0
19,5.0,1.88,25,27,4,8.701799744185767,8.278490369556032,1.0
20,5.0,2.25,25,33,0,8.771825228904863,8.392385264274369,1.0
20,5.0,2.25,25,33,1,11.001871290590172,10.436732930848589,1.0
20,5.0,2.25,25,33,2,6.505125891721665,6.180224090249486,1.0
20,5.0,2.25,25,33,3,11.020082672984033,10.642291133445664,1.0
20,5.0,2.25,25,33,4,6.3642706643224605,6.0051633947228185,1.0
21,5.0,2.88,25,36,0,5.487458165503005,5.180999375563675,1.0
21,5.0,2.88,25,36,1,7.824290176627063,7.401702643258618,1.0
21,5.0,2.88,25,36,2,3.5010399881193637,3.2414469807397377,1.0
21,5.0,2.88,25,36,3,7.652490269717017,7.367103115283941,1.0
21,5.0,2.88,25,36,4,3.06547032952984,2.777501428328455,1.0
22,5.0,1.63,25,34,0,15.132329736890158,14.603564762680334,1.0
22,5.0,1.63,25,34,1,18.20110986876283,17.422237941500313,1.0
22,5.0,1.63,25,34,2,12.079285530323613,11.643845028275994,1.0
22,5.0,1.63,25,34,3,18.102242374180392,17.583678312039453,1.0
22,5.0,1.63,25,34,4,12.464441756046801,11.958021625516459,1.0
23,5.0,1.38,25,50,0,23.59725371365222,22.920390099763036,1.0
23,5.0,1.38,25,50,1,27.2523714646653,26.48336448695131,1.0
23,5.0,1.38,25,50,2,19.097263222232336,18.546809552110563,1.0
23,5.0,1.38,25,50,3,26.615208532342645,25.970658770352546,1.0
23,5.0,1.38,25,50,4,20.080912635165845,19.387182490732684,1.0
24,5.0,2.75,25,44,0,6.776905525656085,6.423709300373964,1.0
24,5.0,2.75,25,44,1,9.162282982672085,8.770497429876634,1.0
24,5.0,2.75,25,44,2,4.641270463406732,4.355868706550573,1.0
24,5.0,2.75,25,44,3,8.94557556128435,8.618241604854829,1.0
24,5.0,2.75,25,44,4,4.119049119962572,3.806224862805935,1.0
25,5.0,1.0,25,30,0,27.81771581962863,26.95592085240447,1.0
25,5.0,1.0,25,30,1,33.39193569629618,32.13538730521013,1.0
25,5.0,1.0,25,30,2,23.543331866793714,22.805818920548624,1.0
25,5.0,1.0,25,30,3,32.78681944079609,31.942162664666274,1.0
25,5.0,1.0,25,30,4,24.991152079073863,24.18878435984685,1.0
26,5.0,2.5,25,28,0,6.627644849604844,6.279882257211163,1.0
26,5.0,2.5,25,28,1,8.842383647919096,8.318478286412969,1.0
26,5.0,2.5,25,28,2,4.777118356684674,4.486895603674095,1.0
26,5.0,2.5,25,28,3,8.847681731707354,8.525098441869176,1.0
26,5.0,2.5,25,28,4,4.459715243979569,4.118049839283058,1.0
27,5.0,2.13,25,48,0,11.817902804874935,11.368190010440776,1.0
27,5.0,2.13,25,48,1,14.011726290149063,13.530433800008874,1.0
27,5.0,2.13,25,48,2,8.893622126084063,8.550052474431398,1.0
27,5.0,2.13,25,48,3,13.879572143833812,13.47059736665337,1.0
27,5.0,2.13,25,48,4,8.844317290522623,8.409210049513407,1.0
28,5.0,1.75,25,42,0,15.060100209356868,14.54672829885126,1.0
28,5.0,1.75,25,42,1,17.96802437367866,17.33306907771842,1.0
28,5.0,1.75,25,42,2,11.989319844623527,11.535429033952251,1.0
28,5.0,1.75,25,42,3,17.727757643511858,17.196919664837,1.0
28,5.0,1.75,25,42,4,12.09103671763872,11.589087222639142,1.0
29,5.0,1.13,25,39,0,26.895310812010248,26.11878275133107,1.0
29,5.0,1.13,25,39,1,32.10204356782925,31.068183876249275,1.0
29,5.0,1.13,25,39,2,22.33514189860663,21.64713684382314,1.0
29,5.0,1.13,25,39,3,30.923071662512967,30.17383864675895,1.0
29,5.0,1.13,25,39,4,23.40030820017768,22.671557229880115,1.0
30,5.0,2.38,25,41,0,8.779491836311957,8.418856801633062,1.0
30,5.0,2.38,25,41,1,11.168167026231892,10.691679296061062,1.0
30,5.0,2.38,25,41,2,6.434327370486933,6.097509245253251,1.0
30,5.0,2.38,25,41,3,10.947783874231828,10.553083969298292,1.0
30,5.0,2.38,25,41,4,6.105906253372432,5.739462141768821,1.0
31,5.0,2.63,25,25,0,5.772303442062242,5.499508715740233,1.0
31,5.0,2.63,25,25,1,7.837147734051386,7.323681047776898,1.0
31,5.0,2.63,25,25,2,4.099839377369218,3.8474985572209537,1.0
31,5.0,2.63,25,25,3,7.939985386081687,7.608188963105703,1.0
31,5.0,2.63,25,25,4,3.6300598537001307,3.3101128356641176,1.0
32,5.0,1.25,25,31,0,21.12420740332677,20.44140409404317,1.0
32,5.0,1.25,25,31,1,25.350351772938712,24.363029833015617,1.0
32,5.0,1.25,25,31,2,17.54157930417014,16.967183349299457,1.0
32,5.0,1.25,25,31,3,25.06415881132417,24.367801461574707,1.0
32,5.0,1.25,25,31,4,18.43404146104772,17.774168787988124,1.0
