DesignPt#,lambda,mu,warmup,people,MacroRep#,avg_sojourn_time,avg_waiting_time,frac_cust_wait
0,2.3,10.0,20,60,0,0.11324590874466217,0.020514870365213288,0.21666666666666667
0,2.3,10.0,20,60,1,0.14303312179395297,0.03142275153505983,0.2833333333333333
1,1.3,3.25,20,60,0,0.42110189727844183,0.13577562534167606,0.31666666666666665
1,1.3,3.25,20,60,1,0.4975768516665272,0.15416032779300987,0.48333333333333334
2,1.5,4.94,20,60,0,0.2515350410292002,0.06382038843922275,0.25
2,1.5,4.94,20,60,1,0.3047709331711456,0.07883900957014743,0.3333333333333333
3,1.8,6.63,20,60,0,0.18092500570923994,0.04105918613239396,0.25
3,1.8,6.63,20,60,1,0.2221890150657432,0.05384758179441119,0.3333333333333333
4,4.0,9.44,20,60,0,0.14902716774812746,0.05079513556650785,0.35
4,4.0,9.44,20,60,1,0.1760967061799325,0.0578653817531389,0.5166666666666667
5,5.0,3.81,20,60,0,2.80549043618956,2.5621018840125283,1.0
5,5.0,3.81,20,60,1,5.024903798144115,4.731963193790065,1.0
6,3.5,2.69,20,60,0,3.8668608052150986,3.5221357554773705,1.0
6,3.5,2.69,20,60,1,7.040006486712589,6.6250980470884535,1.0
7,3.3,8.88,20,60,0,0.15028679187021185,0.04585994684830997,0.3
7,3.3,8.88,20,60,1,0.1772360394551807,0.051548685560030796,0.38333333333333336
8,3.0,5.5,20,60,0,0.306711208855949,0.1381093208933147,0.45
8,3.0,5.5,20,60,1,0.36410551351055764,0.16117756758529736,0.6666666666666666
9,3.8,1.0,20,60,0,33.393287051980096,32.46597666818562,1.0
9,3.8,1.0,20,60,1,37.57550530531115,36.45940160272221,1.0
10,4.8,7.75,20,60,0,0.2415278573868567,0.12187490463918071,0.5166666666666667
10,4.8,7.75,20,60,1,0.31518537686065223,0.1711719958814353,0.7666666666666667
11,4.5,6.06,20,60,0,0.3700623957072634,0.217040880229625,0.6333333333333333
11,4.5,6.06,20,60,1,0.5990373577996402,0.41486182931961857,0.8666666666666667
12,4.3,4.38,20,60,0,0.9976161404483961,0.7859014409519374,0.9
12,4.3,4.38,20,60,1,2.5394327882191297,2.284614591281018,1.0
13,2.0,1.56,20,60,0,6.347830495666522,5.753400762464926,1.0
13,2.0,1.56,20,60,1,11.908432565942555,11.192981474539392,1.0
14,1.0,7.19,20,60,0,0.14082894944456056,0.01185671247731594,0.11666666666666667
14,1.0,7.19,20,60,1,0.18505736406529838,0.029827363705224486,0.18333333333333332
15,2.5,8.31,20,60,0,0.14912129358882117,0.03753159638130147,0.25
15,2.5,8.31,20,60,1,0.18086839637800925,0.04655988824456384,0.3333333333333333
16,2.8,2.13,20,60,0,5.044639934775102,4.6092829470781576,1.0
16,2.8,2.13,20,60,1,9.00724672236973,8.483254373736427,1.0
