DesignPt#,contam_rate_alpha,contam_rate_beta,restore_rate_alpha,restore_rate_beta,initial_rate_alpha,initial_rate_beta,stages,prev_decision,MacroRep#,level
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00271131 0.03689296 0.37432979 0.46154798 0.57187291]
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03764935 0.07968942 0.29468363 0.51453154 0.67946255]
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00711481 0.06934318 0.13972492 0.2069319  0.21723611]
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,[0.00163214 0.56291125 0.77129381 0.79427912 0.81704126]
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.05185162 0.07099312 0.15840901 0.27048423 0.2761757 ]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00298153 0.04398674 0.42491193 0.51863531 0.62995386]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03820697 0.08745681 0.32714132 0.56991769 0.73442694]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00758235 0.07754828 0.1583747  0.23216522 0.24361324]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,[0.00183004 0.63663598 0.83309686 0.85278305 0.87137974]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.05277585 0.07467312 0.18080332 0.29627077 0.30265049]
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,"[3.73733695e-04 3.95112269e-02 4.09446493e-01 5.01747450e-01
 6.13330564e-01]"
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.02740885 0.07513063 0.31062835 0.54991016 0.71676732]
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00187483 0.07008233 0.14841383 0.22083099 0.23202878]
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,"[1.50519055e-04 6.16245515e-01 8.17042888e-01 8.37715349e-01
 8.57504213e-01]"
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.00179806 0.02405429 0.13016695 0.25103253 0.25755437]
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00093298 0.03834168 0.39732193 0.48799204 0.59932517]
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.031798   0.07749514 0.30578497 0.53831631 0.70460675]
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00347416 0.06964897 0.14524982 0.21592309 0.22681935]
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,"[4.52063373e-04 5.98316995e-01 8.02185410e-01 8.23679271e-01
 8.44496113e-01]"
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.04279283 0.06344116 0.16045534 0.27553284 0.28161413]
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00131029 0.02775269 0.30802646 0.38489461 0.4900553 ]
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03357577 0.06716819 0.24989948 0.43764411 0.59722631]
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00436632 0.05668783 0.11427764 0.17246898 0.18125976]
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,"[6.80149728e-04 4.59397794e-01 6.70827752e-01 6.97081358e-01
 7.24649496e-01]"
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.04544831 0.06124576 0.12796954 0.23332286 0.23813694]
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00111738 0.02449205 0.27940872 0.35106461 0.45242633]
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03273201 0.06283071 0.23091259 0.40347071 0.55806003]
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00392266 0.05186469 0.1040035  0.15798878 0.16609208]
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,"[5.61567724e-04 4.12560511e-01 6.20002735e-01 6.47091717e-01
 6.76257300e-01]"
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.04418002 0.05852688 0.11704501 0.21821437 0.22263156]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00256802 0.03079952 0.32504532 0.40460292 0.51138148]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.04120712 0.07657595 0.2660971  0.46075034 0.62127206]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00563196 0.0603765  0.12104125 0.18149487 0.19066065]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,[0.00931172 0.48996459 0.70035561 0.72573786 0.75201263]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.05454299 0.07102666 0.14202093 0.24850889 0.25350237]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.0024563  0.03172548 0.33389965 0.41495104 0.52258389]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03707552 0.07375029 0.26863065 0.46870238 0.63092934]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.006659   0.06272117 0.12507735 0.18674034 0.19610833]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",3,[0.00144907 0.50018835 0.71224759 0.73742394 0.7632792 ]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",4,[0.05091468 0.06792962 0.14200172 0.24999713 0.25513449]
8,1.0,5.5,0.75,0.42857142857142855,0.75,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.0015162  0.03192507 0.34268652 0.4253361  0.53386315]
8,1.0,5.5,0.75,0.42857142857142855,0.75,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03436461 0.07237688 0.27258204 0.47799074 0.64158766]
8,1.0,5.5,0.75,0.42857142857142855,0.75,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00481656 0.06243233 0.12676741 0.18987268 0.19948019]
