DesignPt#,contam_rate_alpha,contam_rate_beta,restore_rate_alpha,restore_rate_beta,initial_rate_alpha,initial_rate_beta,stages,prev_decision,MacroRep#,level
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00271131 0.03689296 0.37432979 0.46154798 0.57187291]
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03764935 0.07968942 0.29468363 0.51453154 0.67946255]
0,1.0,4.94,1.0,0.42857142857142855,0.906,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00711481 0.06934318 0.13972492 0.2069319  0.21723611]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00298153 0.04398674 0.42491193 0.51863531 0.62995386]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03820697 0.08745681 0.32714132 0.56991769 0.73442694]
1,1.0,4.19,0.63,0.42857142857142855,0.938,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00758235 0.07754828 0.1583747  0.23216522 0.24361324]
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,"[3.73733695e-04 3.95112269e-02 4.09446493e-01 5.01747450e-01
 6.13330564e-01]"
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.02740885 0.07513063 0.31062835 0.54991016 0.71676732]
2,1.0,4.38,0.72,0.42857142857142855,0.531,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00187483 0.07008233 0.14841383 0.22083099 0.23202878]
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00093298 0.03834168 0.39732193 0.48799204 0.59932517]
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.031798   0.07749514 0.30578497 0.53831631 0.70460675]
3,1.0,4.56,0.81,0.42857142857142855,0.656,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00347416 0.06964897 0.14524982 0.21592309 0.22681935]
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00131029 0.02775269 0.30802646 0.38489461 0.4900553 ]
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03357577 0.06716819 0.24989948 0.43764411 0.59722631]
4,1.0,6.25,0.97,0.42857142857142855,0.719,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00436632 0.05668783 0.11427764 0.17246898 0.18125976]
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00111738 0.02449205 0.27940872 0.35106461 0.45242633]
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03273201 0.06283071 0.23091259 0.40347071 0.55806003]
5,1.0,7.0,0.66,0.42857142857142855,0.688,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00392266 0.05186469 0.1040035  0.15798878 0.16609208]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00256802 0.03079952 0.32504532 0.40460292 0.51138148]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.04120712 0.07657595 0.2660971  0.46075034 0.62127206]
6,1.0,5.88,0.59,0.42857142857142855,1.0,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00563196 0.0603765  0.12104125 0.18149487 0.19066065]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.0024563  0.03172548 0.33389965 0.41495104 0.52258389]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03707552 0.07375029 0.26863065 0.46870238 0.63092934]
7,1.0,5.69,0.94,0.42857142857142855,0.875,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.006659   0.06272117 0.12507735 0.18674034 0.19610833]
8,1.0,5.5,0.75,0.42857142857142855,0.75,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.0015162  0.03192507 0.34268652 0.4253361  0.53386315]
8,1.0,5.5,0.75,0.42857142857142855,0.75,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03436461 0.07237688 0.27258204 0.47799074 0.64158766]
8,1.0,5.5,0.75,0.42857142857142855,0.75,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00481656 0.06243233 0.12676741 0.18987268 0.19948019]
9,1.0,6.06,0.5,0.42857142857142855,0.594,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00062211 0.02799068 0.31566206 0.39399923 0.50014868]
9,1.0,6.06,0.5,0.42857142857142855,0.594,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.02978237 0.06453693 0.25217158 0.44493403 0.60632037]
9,1.0,6.06,0.5,0.42857142857142855,0.594,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00264395 0.0563084  0.11557684 0.17504933 0.18405002]
10,1.0,6.81,0.88,0.42857142857142855,0.563,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00049114 0.02459136 0.28569151 0.35866374 0.46107793]
10,1.0,6.81,0.88,0.42857142857142855,0.563,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.0286593  0.0597091  0.23203427 0.40901067 0.56561337]
10,1.0,6.81,0.88,0.42857142857142855,0.563,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00225433 0.05132025 0.1048342  0.15992452 0.16820624]
11,1.0,6.63,0.78,0.42857142857142855,0.969,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00324913 0.0279944  0.29431475 0.36831995 0.47137569]
11,1.0,6.63,0.78,0.42857142857142855,0.969,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03871607 0.07025933 0.24425271 0.42298611 0.57921483]
11,1.0,6.63,0.78,0.42857142857142855,0.969,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00803147 0.05783996 0.1123172  0.16807973 0.17647509]
12,1.0,6.44,0.69,0.42857142857142855,0.844,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00220894 0.02777792 0.30093426 0.37635651 0.48048138]
12,1.0,6.44,0.69,0.42857142857142855,0.844,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.0364658  0.0689934  0.24720154 0.43029282 0.58816747]
12,1.0,6.44,0.69,0.42857142857142855,0.844,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00620141 0.05723695 0.11322962 0.17018288 0.17877171]
13,1.0,4.75,0.53,0.42857142857142855,0.781,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00173403 0.03746295 0.38541013 0.4743517  0.58525292]
13,1.0,4.75,0.53,0.42857142857142855,0.781,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03510315 0.07888399 0.30026252 0.52624115 0.69190067]
13,1.0,4.75,0.53,0.42857142857142855,0.781,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",2,[0.00527124 0.06941624 0.14231966 0.21122301 0.22181582]
14,1.0,4.0,0.84,0.42857142857142855,0.813,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",0,[0.00197024 0.04519194 0.43916863 0.53463818 0.64588858]
14,1.0,4.0,0.84,0.42857142857142855,0.813,30.0,5,"(0.0, 0.0, 0.0, 0.0, 0.0)",1,[0.03581714 0.08744006 0.33493668 0.5846898  0.74875282]
