DesignPt#,mean_price,max_price,min_price,capacity,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,n_days,MacroRep#,total_profit,frac_producing,mean_stock
0,100.0,400.0,0.0,10000,7.5,0.66,100.0,100,80.0,7000,40.0,100.0,365,0,251692.14749262383,0.9972602739726028,255.8904109589041
0,100.0,400.0,0.0,10000,7.5,0.66,100.0,100,80.0,7000,40.0,100.0,365,1,-1859.7431613082736,0.9397260273972603,1411.5068493150684
1,100.0,400.0,0.0,10000,7.5,0.53,100.0,63,80.0,7000,40.0,100.0,365,0,166215.5129203529,0.9972602739726028,161.2109589041096
1,100.0,400.0,0.0,10000,7.5,0.53,100.0,63,80.0,7000,40.0,100.0,365,1,41553.245621910086,0.9561643835616438,894.427397260274
2,100.0,400.0,0.0,10000,7.5,0.56,100.0,72,80.0,7000,40.0,100.0,365,0,187943.1461946891,0.9972602739726028,184.24109589041095
2,100.0,400.0,0.0,10000,7.5,0.56,100.0,72,80.0,7000,40.0,100.0,365,1,36296.303567897245,0.9561643835616438,1022.2027397260274
3,100.0,400.0,0.0,10000,7.5,0.59,100.0,81,80.0,7000,40.0,100.0,365,0,209166.41946902534,0.9972602739726028,207.27123287671233
3,100.0,400.0,0.0,10000,7.5,0.59,100.0,81,80.0,7000,40.0,100.0,365,1,28241.081513884412,0.9561643835616438,1149.978082191781
4,100.0,400.0,0.0,10000,7.5,0.88,100.0,97,80.0,7000,40.0,100.0,365,0,224209.82306784566,0.9972602739726028,248.21369863013697
4,100.0,400.0,0.0,10000,7.5,0.88,100.0,97,80.0,7000,40.0,100.0,365,1,-112873.18205763784,0.947945205479452,1376.33698630137
5,100.0,400.0,0.0,10000,7.5,1.0,100.0,66,80.0,7000,40.0,100.0,365,0,145157.85734513166,0.9972602739726028,168.8876712328767
5,100.0,400.0,0.0,10000,7.5,1.0,100.0,66,80.0,7000,40.0,100.0,365,1,-117213.66839609442,0.9561643835616438,937.0191780821917
6,100.0,400.0,0.0,10000,7.5,0.81,100.0,59,80.0,7000,40.0,100.0,365,0,140232.46702064804,0.9972602739726028,150.9753424657534
6,100.0,400.0,0.0,10000,7.5,0.81,100.0,59,80.0,7000,40.0,100.0,365,1,-46691.69568741756,0.9561643835616438,837.6383561643836
7,100.0,400.0,0.0,10000,7.5,0.78,100.0,94,80.0,7000,40.0,100.0,365,0,226055.09864306616,0.9972602739726028,240.53698630136986
7,100.0,400.0,0.0,10000,7.5,0.78,100.0,94,80.0,7000,40.0,100.0,365,1,-60157.81912093886,0.9534246575342465,1334.5424657534247
8,100.0,400.0,0.0,10000,7.5,0.75,100.0,75,80.0,7000,40.0,100.0,365,0,182464.6106194679,0.9972602739726028,191.91780821917808
8,100.0,400.0,0.0,10000,7.5,0.75,100.0,75,80.0,7000,40.0,100.0,365,1,-36034.850450107435,0.9561643835616438,1064.7945205479452
9,100.0,400.0,0.0,10000,7.5,0.84,100.0,50,80.0,7000,40.0,100.0,365,0,117440.07374631194,0.9972602739726028,127.94520547945206
9,100.0,400.0,0.0,10000,7.5,0.84,100.0,50,80.0,7000,40.0,100.0,365,1,-47342.23363340496,0.9561643835616438,709.8630136986301
10,100.0,400.0,0.0,10000,7.5,0.97,100.0,88,80.0,7000,40.0,100.0,365,0,196009.56979350926,0.9972602739726028,225.18356164383562
10,100.0,400.0,0.0,10000,7.5,0.97,100.0,88,80.0,7000,40.0,100.0,365,1,-142604.41119479324,0.9561643835616438,1249.358904109589
11,100.0,400.0,0.0,10000,7.5,0.94,100.0,78,80.0,7000,40.0,100.0,365,0,175921.31504424644,0.9972602739726028,199.5945205479452
11,100.0,400.0,0.0,10000,7.5,0.94,100.0,78,80.0,7000,40.0,100.0,365,1,-114273.48446811127,0.9561643835616438,1107.386301369863
